iter	Passed	Remaining
0	3	329
1	6	300
2	8	287
3	11	269
4	14	267
5	16	263
6	19	259
7	22	256
8	24	252
9	27	248
10	30	244
11	33	242
12	35	238
13	38	234
14	40	231
15	43	229
16	46	225
17	48	221
18	51	219
19	54	216
20	56	213
21	59	210
22	62	207
23	65	206
24	67	202
25	70	199
26	72	196
27	75	194
28	78	191
29	81	189
30	83	185
31	85	182
32	88	180
33	91	176
34	93	173
35	96	171
36	99	168
37	101	166
38	104	163
39	107	160
40	109	158
41	111	153
42	113	150
43	116	147
44	118	145
45	121	142
46	124	140
47	126	137
48	129	134
49	131	131
50	134	129
51	136	126
52	139	123
53	141	120
54	142	116
55	144	113
56	147	111
57	149	108
58	152	105
59	155	103
60	157	100
61	160	98
62	163	95
63	165	93
64	168	90
65	170	87
66	173	85
67	175	82
68	178	80
69	180	77
70	183	74
71	185	72
72	188	69
73	190	67
74	193	64
75	195	61
76	198	59
77	201	56
78	204	54
79	206	51
80	209	49
81	212	46
82	215	44
83	217	41
84	220	38
85	223	36
86	225	33
87	228	31
88	230	28
89	233	25
90	236	23
91	239	20
92	241	18
93	244	15
94	247	13
95	249	10
96	252	7
97	255	5
98	258	2
99	261	0
