iter	Passed	Remaining
0	2	2243
1	4	2074
2	5	1993
3	7	1990
4	12	2424
5	14	2334
6	16	2289
7	17	2227
8	19	2178
9	23	2289
10	25	2313
11	28	2331
12	30	2308
13	32	2265
14	34	2234
15	36	2217
16	38	2239
17	42	2302
18	44	2286
19	46	2274
20	48	2249
21	50	2230
22	52	2223
23	54	2234
24	57	2237
25	59	2220
26	61	2202
27	63	2187
28	64	2169
29	67	2178
30	69	2174
31	71	2174
32	73	2153
33	75	2134
34	76	2114
35	78	2095
36	80	2085
37	82	2080
38	85	2099
39	87	2089
40	88	2073
41	90	2056
42	92	2052
43	93	2041
44	95	2029
45	97	2025
46	99	2025
47	101	2021
48	103	2014
49	105	2002
50	108	2013
51	110	2009
52	112	2009
53	114	2009
54	116	2008
55	118	2001
56	120	2001
57	123	2000
58	125	1994
59	127	1990
60	129	1989
61	131	1987
62	132	1976
63	134	1968
64	137	1976
65	139	1973
66	141	1969
67	144	1974
68	146	1975
69	148	1966
70	150	1973
71	153	1977
72	155	1975
73	157	1972
74	159	1969
75	162	1971
76	164	1971
77	166	1965
78	167	1957
79	169	1948
80	171	1945
81	174	1948
82	175	1940
83	177	1937
84	179	1933
85	181	1925
86	182	1918
87	184	1909
88	186	1907
89	188	1907
90	190	1906
91	192	1900
92	194	1894
93	195	1886
94	197	1880
95	199	1874
96	200	1867
97	203	1871
98	205	1873
99	207	1870
100	209	1866
101	211	1864
102	213	1861
103	215	1855
104	217	1855
105	219	1852
106	221	1847
107	222	1841
108	224	1835
109	226	1829
110	227	1824
111	229	1818
112	231	1817
113	233	1817
114	235	1815
115	237	1809
116	238	1800
117	240	1796
118	241	1791
119	243	1788
120	246	1789
121	248	1788
122	250	1788
123	252	1785
124	254	1783
125	256	1780
126	258	1774
127	260	1773
128	263	1777
129	265	1777
130	267	1773
131	269	1770
132	270	1766
133	272	1763
134	274	1758
135	276	1756
136	278	1756
137	280	1752
138	282	1750
139	284	1747
140	286	1743
141	287	1735
142	289	1732
143	290	1728
144	293	1727
145	294	1724
146	296	1720
147	298	1715
148	299	1712
149	301	1709
150	303	1705
151	305	1703
152	307	1700
153	308	1697
154	310	1694
155	312	1692
156	314	1691
157	317	1690
158	319	1691
159	322	1692
160	324	1688
161	326	1688
162	329	1689
163	331	1688
164	333	1688
165	335	1687
166	338	1689
167	340	1687
168	342	1686
169	345	1684
170	346	1681
171	348	1678
172	351	1679
173	353	1678
174	355	1677
175	358	1676
176	360	1675
177	362	1672
178	364	1670
179	367	1672
180	369	1672
181	371	1670
182	374	1669
183	376	1670
184	379	1670
185	382	1674
186	384	1673
187	387	1671
188	389	1669
189	390	1666
190	392	1664
191	396	1667
192	398	1667
193	400	1664
194	402	1663
195	404	1660
196	406	1657
197	408	1654
198	411	1655
199	413	1653
200	415	1651
201	417	1647
202	418	1644
203	420	1641
204	422	1640
205	425	1638
206	427	1636
207	429	1633
208	430	1630
209	432	1627
210	434	1623
211	435	1620
212	437	1616
213	439	1614
214	441	1613
215	443	1610
216	445	1606
217	446	1602
218	448	1599
219	450	1597
220	452	1595
221	454	1593
222	456	1591
223	458	1588
224	459	1584
225	461	1580
226	463	1578
227	465	1575
228	466	1571
229	468	1569
230	470	1567
231	472	1564
232	474	1561
233	475	1557
234	477	1555
235	479	1551
236	481	1548
237	482	1545
238	484	1543
239	486	1540
240	488	1537
241	489	1533
242	491	1532
243	493	1529
244	495	1525
245	496	1522
246	498	1520
247	500	1519
248	502	1516
249	504	1514
250	507	1513
251	509	1511
252	510	1508
253	512	1505
254	514	1504
255	516	1502
256	518	1498
257	520	1497
258	522	1494
259	523	1491
260	525	1488
261	527	1484
262	529	1483
263	531	1481
264	533	1479
265	535	1477
266	537	1474
267	538	1471
268	540	1468
269	541	1465
270	544	1463
271	546	1462
272	548	1460
273	550	1458
274	552	1455
275	553	1452
276	555	1449
277	556	1446
278	558	1444
279	561	1443
280	562	1440
281	564	1437
282	565	1433
283	567	1430
284	568	1427
285	570	1424
286	572	1421
287	574	1420
288	576	1418
289	578	1415
290	579	1412
291	581	1409
292	583	1406
293	584	1403
294	586	1400
295	587	1398
296	589	1396
297	592	1394
298	593	1392
299	595	1389
300	596	1386
301	598	1383
302	600	1380
303	601	1377
304	604	1376
305	606	1375
306	608	1373
307	610	1370
308	612	1369
309	614	1366
310	615	1363
311	617	1360
312	619	1360
313	622	1359
314	623	1356
315	625	1354
316	627	1352
317	629	1350
318	631	1347
319	632	1344
320	635	1343
321	636	1341
322	638	1338
323	639	1335
324	641	1332
325	643	1329
326	644	1327
327	646	1325
328	649	1323
329	651	1322
330	653	1320
331	654	1317
332	656	1314
333	658	1312
334	659	1309
335	661	1306
336	663	1304
337	665	1303
338	667	1301
339	669	1298
340	670	1296
341	672	1293
342	673	1290
343	675	1288
344	677	1286
345	679	1285
346	681	1282
347	683	1280
348	684	1277
349	686	1274
350	687	1271
351	689	1269
352	691	1267
353	693	1265
354	695	1264
355	697	1262
356	699	1260
357	701	1258
358	703	1256
359	705	1254
360	707	1251
361	709	1250
362	711	1248
363	713	1246
364	714	1243
365	716	1240
366	718	1238
367	719	1236
368	721	1233
369	723	1231
370	725	1230
371	727	1227
372	728	1225
373	730	1222
374	732	1220
375	733	1217
376	735	1214
377	736	1212
378	739	1210
379	741	1209
380	742	1206
381	744	1204
382	745	1201
383	747	1199
384	749	1197
385	751	1195
386	754	1194
